Name,Price,Price Change %,Link,Image,Store
"Apple MacBook Pro 14"" CTO (Early 2023) 14.2"" Laptop Computer (Certified Refurbished) - Space Gray;  Apple M2 Pro 10-Core CPU;  16GB Unified Memory;  8TB Solid State Drive;  16-Core GPU/16-Core Neural Engine",$1399.99,0.0%,https://www.microcenter.com/product/688890/apple-macbook-pro-14-cto-(early-2023)-142-laptop-computer-(certified-refurbished)-space-gray,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688890_785600.jpg,microcenter
"Apple MacBook Pro 14"" CTO (Late 2021) 14.2"" Laptop Computer (Refurbished) - Silver;  Apple M1 Max 10-Core Chip;  64GB Unified Memory;  1TB Solid State Drive;  Apple M1 Max Chip 32-Core GPU",$1449.99,0.0%,https://www.microcenter.com/product/680129/apple-macbook-pro-14-cto-(late-2021)-142-laptop-computer-(refurbished)-silver,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0680129_700708.jpg,microcenter
"Apple MacBook Pro 14"" MKGR3LL/A (Late 2021) 14.2"" Laptop Computer (Refurbished) - Space Gray;  Apple M1 Pro 8-Core CPU;  16GB Unified Memory;  512GB Solid State Drive;  14-Core GPU",$899.99,0.0%,https://www.microcenter.com/product/690620/apple-macbook-pro-14-mkgr3ll-a-(late-2021)-142-laptop-computer-(refurbished)-space-gray,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0690620_808162.jpg,microcenter
"Apple MacBook Pro 14"" MRX53LL/A (Late 2023) 14.2"" Laptop Computer (Refurbished) - Space Black;  Apple M3 Max 14-Core CPU;  36GB Unified Memory;  1TB Solid State Drive;  30-Core GPU",$1979.99,0.0%,https://www.microcenter.com/product/688893/apple-macbook-pro-14-mrx53ll-a-(late-2023)-142-laptop-computer-(refurbished)-space-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688893_785584.jpg,microcenter
"Apple MacBook Pro 14"" MW2V3LL/A (Late 2024) 14.2"" Laptop Computer - Space Black;  Apple M4 10-Core CPU;  16GB Unified Memory;  1TB Solid State Drive;  10-Core GPU",$1619.99,0.0%,https://www.microcenter.com/product/688243/apple-macbook-pro-14-mw2v3ll-a-(late-2024)-142-laptop-computer-space-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688243_778100.jpg,microcenter
"Apple MacBook Pro 14"" MW2W3LL/A (Late 2024) 14.2"" Laptop Computer - Silver;  Apple M4 10-Core CPU;  16GB Unified Memory;  512GB Solid State Drive;  10-Core GPU",$1399.99,0.0%,https://www.microcenter.com/product/688244/apple-macbook-pro-14-mw2w3ll-a-(late-2024)-142-laptop-computer-silver,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688244_778126.jpg,microcenter
"Apple MacBook Pro 14"" MW2X3LL/A (Late 2024) 14.2"" Laptop Computer - Silver;  Apple M4 10-Core CPU;  16GB Unified Memory;  1TB Solid State Drive;  10-Core GPU",$1619.99,0.0%,https://www.microcenter.com/product/688245/apple-macbook-pro-14-mw2x3ll-a-(late-2024)-142-laptop-computer-silver,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688245_778142.jpg,microcenter
"Apple MacBook Pro 14"" MX2K3LL/A (Late 2024) 14.2"" Laptop Computer - Space Black;  Apple M4 Max 14-Core CPU;  36GB Unified Memory;  1TB Solid State Drive;  32-Core GPU",$2799.99,0.0%,https://www.microcenter.com/product/688251/apple-macbook-pro-14-mx2k3ll-a-(late-2024)-142-laptop-computer-space-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688251_777847.jpg,microcenter
"Apple MacBook Pro 14"" Z1AU0029N (Late 2023) 14.2"" Laptop Computer - Space Black;  Apple M3 Pro 11-Core CPU;  36GB Unified Memory;  1TB Solid State Drive;  14-Core GPU/16-Core Neural Engine",$1699.99,0.0%,https://www.microcenter.com/product/692052/apple-macbook-pro-14-z1au0029n-(late-2023)-142-laptop-computer-space-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0692052_823427.jpg,microcenter
"Apple MacBook Pro 16"" MRW13LL/A (Late 2023) 16.2"" Laptop Computer (Refurbished) - Space Black;  Apple M3 Pro 12-Core CPU;  18GB Unified Memory;  512GB Solid State Drive;  18-Core GPU",$1449.99,0.0%,https://www.microcenter.com/product/688688/apple-macbook-pro-16-mrw13ll-a-(late-2023)-162-laptop-computer-(refurbished)-space-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688688_783191.jpg,microcenter
"Apple MacBook Pro 16"" MX303LL/A (Late 2024) 16.2"" Laptop Computer - Space Black;  Apple M4 Max 14-Core CPU;  36GB Unified Memory;  1TB Solid State Drive;  32-Core GPU",$3149.99,0.0%,https://www.microcenter.com/product/688258/apple-macbook-pro-16-mx303ll-a-(late-2024)-162-laptop-computer-space-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688258_777771.jpg,microcenter
"Techprotectus Hard Shell Case with Keyboard Cover for Apple MacBook Air 13.6"" M3/M2 2024-2022-Black",$29.99,0.0%,https://www.microcenter.com/product/652729/techprotectus-hard-shell-case-with-keyboard-cover-for-apple-macbook-air-136-m3-m2-2024-2022-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0652729_436998.jpg,microcenter
"Techprotectus Hard Shell Case with Keyboard Cover for Apple MacBook Air 13.6"" M3/M2 2024-2022-Crystal Clear",$29.99,0.0%,https://www.microcenter.com/product/652730/techprotectus-hard-shell-case-with-keyboard-cover-for-apple-macbook-air-136-m3-m2-2024-2022-crystal-clear,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0652730_437004.jpg,microcenter
"Techprotectus Hinge Protection Rugged MacBook Case with Keyboard Cover for Apple MacBook Air 13.6"" M3/M2 2022 - Clear",$39.99,0.0%,https://www.microcenter.com/product/661178/techprotectus-hinge-protection-rugged-macbook-case-with-keyboard-cover-for-apple-macbook-air-136-m3-m2-2022-clear,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0661178_522706.jpg,microcenter
"Techprotectus Rugged Protective Hard-Shell Case for 13"" MacBook Pro M1/M2",$36.99,0.0%,https://www.microcenter.com/product/645006/techprotectus-rugged-protective-hard-shell-case-for-13-macbook-pro-m1-m2,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0645006_522698.jpg,microcenter
"Techprotectus Rugged Protective Hardshell Case for 2020 and M1 2020 13"" MacBook Air - Black",$36.99,0.0%,https://www.microcenter.com/product/645005/techprotectus-rugged-protective-hardshell-case-for-2020-and-m1-2020-13-macbook-air-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0645005_383968.jpg,microcenter
"Techprotectus-Colorlife Hardshell case for the 2020 and M1 2020 Macbook Air 13""",$29.99,0.0%,https://www.microcenter.com/product/644816/techprotectus-colorlife-hardshell-case-for-the-2020-and-m1-2020-macbook-air-13,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0644816_367763.jpg,microcenter
